,name,clock tower,darshan lal chowk,saharanpur chowk,isbt dehradun,graphic era hill university,astley hall,matawala bagh,daudwala,mathurawala,vishnupuram,bangali kothi,kargi chowk,rani pokhri,doiwala,lachiwala,kuanwala,harawala,miawala,mokampur,jogiwala,rispana,gujraunwala,raipur chowk,dobhal chowk,6 no. pulia,ring road,post office nehru gram,graphic era hill university (gehu),hathibadkala,garhi cantt,vijay colony,chir bagh,cm house,ongc chowk,ballupur chowk,gms road,rajender nagar,yamuna colony,bindal pul,kishan nagar,blood bank,supply,it park dehradun,nala paani chowk,shastdhara crossing,ladpur,fountain chowk rispana,fountain chowk,nehru colony,kargi,nakrounda more,naya gaon palio,badowala,telpur,mehuwala,race course,dharampur,mata mandir,balbir road,rajpur,great value,dilaram bazar,nanni bakery dehradun,survey chowk,dwarka store,araghar,kulhal,vikas nagar,tehsil,harbatpur chowk,langa road,shaspur,selaqui,sudhowala,nanda ki chowki,premnagar,panditwari,vasant vihar,selaqui chowk,baliwala chowk,bahuwala raja road,raja road,bansiwala,manduwala,prem nagar,balliwala chowk
56,dharampur,3.0,189.0,69.0,7.0,9.0,1.0,189.0,189.0,189.0,N/A,3.0,4.0,28.0,20.0,22.0,11.0,10.0,13.0,4.0,5.0,4.0,419.0,6.0,189.0,3000.0,189.0,189.0,9.0,5.0,6.0,189.0,189.0,189.0,N/A,3.0,3.0,234.1,N/A,1400.0,189.0,189.0,189.0,N/A,1.1,15.0,189.0,3.0,3.0,1.0,4.0,189.0,1.0,7.0,7.0,10.0,1.0,0,5.0,189.0,9.0,189.0,5.0,189.0,3.0,189.0,189.0,189.0,37.0,189.0,189.0,189.0,27.0,25.0,13.0,13.0,285.0,83.0,8.0,25.0,3.0,15.0,N/A,189.0,189.0,285.0,0.8
57,mata mandir,1.0,N/A,69.0,5.0,9.0,3000.0,0.8,1.0,13.0,501.0,5.0,4.0,28.0,20.0,22.0,11.0,13.0,13.0,7.0,5.0,4.0,419.0,1073.0,1.0,N/A,8.0,7.0,9.0,5.0,7.0,3000.0,1.0,3000.0,3000.0,3.0,3.0,3.0,3.0,1.0,N/A,201.0,N/A,N/A,1.1,15.0,10.0,3.3,3.0,1.0,0.8,1.0,12.0,7.0,7.0,8.0,16.0,2.1,0,0.8,6.0,N/A,27.44,7.7,1.27,N/A,1.0,201.0,37.0,1.0,1.0,3000.0,27.0,20.0,12.0,N/A,285.0,83.0,1.0,21.0,2.0,25.0,6.0,13.0,16.0,285.0,2.0
58,balbir road,1.0,41.4,N/A,N/A,9.0,3000.0,1.0,1.0,437.0,1.0,N/A,4.0,28.0,19.0,6.0,N/A,10.0,N/A,7.0,N/A,1.0,419.0,1073.0,N/A,N/A,237.0,N/A,9.0,1.0,7.0,N/A,N/A,3000.0,N/A,3.0,3.0,5.0,3.0,1.0,3000.0,201.0,3000.0,N/A,1.9,N/A,7.0,1.0,1.0,1.0,N/A,3000.0,3000.0,7.0,7.0,334.0,1.1,243.0,N/A,0,8.0,3000.0,1.0,238.0,3000.0,247.0,1.0,N/A,37.0,3.0,32.0,3000.0,27.0,21.0,N/A,N/A,11.0,83.0,1.0,20.0,1.0,15.0,1.0,N/A,N/A,11.0,2.0
59,rajpur,4.0,961.0,2.0,N/A,10.0,1.0,0.0,4.0,961.0,961.0,9.0,6.0,28.0,20.0,16.0,11.0,10.0,13.0,961.0,10.0,7.0,N/A,1073.0,0.0,0.0,4.0,961.0,8.0,3.0,5.0,4.0,961.0,961.0,10.0,6.0,11.0,3.0,3.0,2.0,5.0,961.0,961.0,N/A,961.0,N/A,961.0,1.0,1.0,26.0,6.0,961.0,N/A,N/A,16.0,334.0,N/A,961.0,961.0,8.0,0,961.0,961.0,961.0,1.0,247.0,961.0,961.0,37.0,961.0,36.0,N/A,27.0,N/A,16.0,10.0,9.0,6.0,6.0,20.0,9.0,15.0,4.0,763.0,16.0,9.0,9.0
60,great value,1.0,201.0,69.0,5.0,9.0,1.0,N/A,201.0,0.0,201.0,4.0,4.0,N/A,N/A,N/A,11.0,N/A,13.0,7.0,5.0,4.0,419.0,1073.0,5.0,0.0,201.0,7.0,9.0,5.0,7.0,3000.0,N/A,3000.0,3000.0,3.0,3.0,3.0,3.0,1.0,3000.0,201.0,201.0,3.0,238.0,1116.0,7.0,0.0,N/A,4.0,4.0,13.0,N/A,7.0,7.0,334.0,7.0,189.0,8.0,3.0,4.0,0,N/A,1354.0,2.0,273.0,1.1,201.0,37.0,201.0,1.0,3000.0,27.0,21.0,13.0,9.0,285.0,83.0,4.0,21.0,2.0,15.0,238.0,10.4,16.0,7.0,2.0
61,dilaram bazar,1.0,1.0,69.0,8.0,N/A,1.0,N/A,201.0,18.0,1.0,5.0,4.0,28.0,19.0,6.0,11.0,10.0,13.0,7.0,6.0,4.0,6.0,1072.16,1.0,3000.0,1.0,4.1,9.0,5.0,3.0,3000.0,0.9,0.0,6.0,3.0,N/A,3.0,1.6,1.0,0.6,1.0,2.0,3.0,1.0,15.0,0.0,3.0,1.0,1.0,1.0,3000.0,N/A,7.0,7.0,334.0,0.4,189.0,1.0,1.0,6.0,5.0,0,1.0,2.0,247.0,0.8,0.0,37.0,3000.0,32.0,3000.0,27.0,21.0,13.0,9.0,10.0,83.0,0.6,20.0,0.6,N/A,N/A,N/A,18.0,10.0,3.0
62,nanni bakery dehradun,1.0,201.0,69.0,5.0,9.0,N/A,3000.0,3000.0,3000.0,201.0,922.0,4.0,3000.0,20.0,19.0,11.0,N/A,3000.0,1.0,5.0,4.0,419.0,1073.0,1.0,0.0,N/A,N/A,N/A,5.0,1.0,1.0,1354.0,3000.0,N/A,3.0,3.0,N/A,76.0,1.0,1.0,3000.0,238.0,3.0,1.0,15.0,1.0,3.0,N/A,1.0,4.0,14.0,1.0,7.0,1.0,3000.0,1.0,189.0,1.0,201.0,961.0,201.0,1.0,0,3000.0,N/A,238.0,11.0,233.0,1.0,32.0,3000.0,27.0,21.0,13.0,9.0,827.0,83.0,N/A,21.0,1.0,25.0,N/A,3000.0,18.0,7.0,1.0
63,survey chowk,1.0,1.0,N/A,7.0,9.0,3000.0,0.8,3.0,1696.0,1.0,4.0,5.0,28.0,20.0,6.0,11.0,1.0,13.0,7.0,6.0,3.0,3.0,4.0,N/A,0.0,3000.0,5.0,9.0,3.0,7.0,3000.0,237.0,3000.0,5.0,4.0,3000.0,1.0,3.0,3000.0,2.0,3000.0,2.0,3.0,3.0,1.0,0.0,3.0,3000.0,3.0,4.0,1.0,3000.0,7.0,9.0,12.0,1.0,3.0,238.0,3000.0,1.0,3000.0,2.0,3.0,0,247.0,2.0,1.0,37.0,2.0,3000.0,3000.0,185.0,23.0,12.0,9.0,9.0,83.0,5.0,20.0,2.0,15.0,3000.0,3.0,16.0,9.0,2.0
64,dwarka store,1.0,247.0,N/A,5.0,9.0,N/A,N/A,247.0,273.0,N/A,5.0,4.0,28.0,19.0,6.0,11.0,10.0,13.0,7.0,5.0,247.0,419.0,1073.0,1.0,3000.0,273.0,7.0,10.0,5.0,7.0,3000.0,273.0,273.0,6.0,3.0,3.0,N/A,3.0,273.0,1.0,273.0,247.0,3.0,N/A,15.0,247.0,3.0,3.0,1.0,1.0,13.0,3000.0,7.0,7.0,334.0,273.0,1288.0,170.4,3000.0,4.0,247.0,273.0,247.0,3000.0,0,247.0,273.0,37.0,247.0,36.0,3000.0,27.0,N/A,13.0,9.0,827.0,83.0,1.0,21.0,2.0,25.0,273.0,1.0,16.0,7.0,247.0
65,araghar,2.0,201.0,69.0,5.0,9.0,1.0,1.0,0.0,399.0,1.61,5.0,4.0,28.0,20.0,22.0,11.0,4.0,13.0,7.0,5.0,4.0,419.0,1073.0,N/A,3000.0,N/A,7.0,8.0,1.0,7.0,0.0,0.0,1.0,3000.0,3.0,237.0,1.0,N/A,N/A,440.0,17.12,1.1,3.0,1.1,15.0,4.69,1.0,3.0,1.2,4.0,0.0,1.0,7.0,7.0,334.0,N/A,189.0,5.0,1.0,4.0,1.0,1.1,201.0,2.0,N/A,0,1.61,37.0,N/A,1.0,0.0,27.0,21.0,13.0,9.0,N/A,83.0,1.0,20.0,5.0,15.0,1.0,1.0,N/A,N/A,5.0
66,kulhal,1.0,201.0,69.0,5.0,10.0,1.0,N/A,1.61,201.0,N/A,5.0,4.0,28.0,20.0,22.0,11.0,10.0,13.0,7.0,5.0,7.0,419.0,1073.0,1.61,0.0,0.0,7.0,9.0,5.0,6.0,0.0,0.0,N/A,3000.0,1.0,3.0,1.0,3.0,1400.0,3000.0,237.0,N/A,3.0,1.1,15.0,0.0,1.0,N/A,4.0,4.0,0.0,1.0,7.0,7.0,334.0,14142.0,177.0,8.0,201.0,N/A,201.0,0.0,237.0,3.0,N/A,1.61,0,37.0,0.0,N/A,1.0,N/A,21.0,13.0,9.0,285.0,83.0,1.0,21.0,1.0,15.0,1.0,1.0,1.0,7.0,1.0
67,vikas nagar,36.0,37.0,69.0,38.0,9.0,40.0,1.0,37.0,40.0,37.0,5.0,4.0,200.0,20.0,N/A,11.0,4.0,13.0,7.0,5.0,37.0,N/A,1073.0,N/A,3000.0,37.0,37.0,9.0,40.0,37.0,3000.0,37.0,37.0,3000.0,1.0,37.0,36.0,3.0,37.0,N/A,37.0,37.0,37.0,14.2,N/A,37.0,N/A,40.0,37.0,37.0,40.0,37.0,7.0,37.0,304.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,38.0,37.0,37.0,37.0,0,37.0,32.0,N/A,37.0,19.0,26.0,9.0,29.0,83.0,37.0,19.0,34.0,25.0,37.0,23.0,18.0,28.0,34.0
68,tehsil,1.0,201.0,69.0,5.0,9.0,2.0,0.0,19.0,0.0,1.61,4.0,4.0,28.0,19.0,6.0,11.0,10.0,13.0,7.0,5.0,4.0,419.0,1073.0,5.0,3000.0,1.0,7.0,9.0,N/A,7.0,3000.0,0.0,0.0,N/A,N/A,3.0,N/A,N/A,1400.0,N/A,201.0,201.0,3.0,1.2,4.0,7.0,3.0,1.0,1.0,4.0,8.4,3000.0,7.0,7.0,334.0,1.2,189.0,170.4,237.0,4.0,201.0,3000.0,201.0,2.0,247.0,1.0,0.0,37.0,0,32.0,3000.0,27.0,21.0,13.0,9.0,827.0,83.0,254.0,N/A,1.0,15.0,3000.0,23.0,16.0,4.0,2.0
69,harbatpur chowk,1.0,N/A,69.0,5.0,9.0,3000.0,3000.0,0.0,399.0,N/A,1.0,4.0,28.0,20.0,6.0,11.0,10.0,13.0,7.0,5.0,4.0,419.0,1073.0,1.0,0.0,1.0,65.0,9.0,1.61,1.0,3000.0,3000.0,3000.0,6.0,4.0,3.0,N/A,3000.0,3000.0,2.0,1.0,0.0,3.0,1.0,15.0,7.0,3000.0,3.0,201.0,4.0,3000.0,3000.0,7.0,7.0,334.0,6.0,1488.0,170.4,237.0,7.0,1.0,3.0,1.0,N/A,1641.0,N/A,0.0,37.0,3000.0,0,N/A,27.0,20.0,13.0,9.0,285.0,83.0,4.0,21.0,1.0,19.0,3000.0,1.61,0.0,4.0,1.0
70,langa road,N/A,201.0,117.0,5.0,9.0,3000.0,3000.0,0.0,0.0,N/A,5.0,4.0,28.0,19.0,6.0,11.0,8.0,0.0,7.0,5.0,4.0,419.0,1073.0,3000.0,0.0,3000.0,7.0,9.0,3000.0,7.0,3000.0,3000.0,N/A,N/A,26.0,3000.0,3.0,3.0,N/A,3000.0,N/A,N/A,3.0,N/A,15.0,0.0,3.0,3000.0,3000.0,1.0,3000.0,3000.0,7.0,7.0,334.0,16.0,243.0,3000.0,N/A,4.0,3000.0,3000.0,1.0,3000.0,514.0,1.0,0.0,37.0,3000.0,3000.0,0,27.0,21.0,13.0,9.0,827.0,83.0,237.0,21.0,6.0,15.0,3000.0,N/A,16.0,285.0,2.0
71,shaspur,25.0,41.4,N/A,N/A,10.0,2.0,0.0,27.0,201.0,27.0,5.0,4.0,28.0,20.0,22.0,11.0,10.0,13.0,1.61,5.0,4.0,419.0,1073.0,1.0,3000.0,27.0,7.0,9.0,5.0,6.0,N/A,201.0,145.0,6.0,3.0,3.0,145.0,3.0,1400.0,145.0,185.0,27.0,3.0,1.1,15.0,7.0,3.0,1.0,4.0,4.0,1.0,3000.0,7.0,7.0,334.0,27.0,29.0,170.4,27.0,4.0,27.0,27.0,145.0,2.0,247.0,185.0,27.0,37.0,27.0,201.0,N/A,0,21.0,13.0,9.0,285.0,4.0,1.0,21.0,4.0,15.0,27.0,10.4,11.0,18.0,N/A
72,selaqui,21.0,21.0,82.0,23.0,9.0,21.0,20.0,21.0,20.0,21.0,5.0,26.0,28.0,20.0,N/A,11.0,21.0,21.0,7.0,28.0,25.0,21.0,25.0,20.0,21.0,21.0,20.0,9.0,32.0,21.0,21.0,21.0,21.0,N/A,N/A,20.0,20.0,N/A,20.0,21.0,20.0,21.0,30.0,20.0,29.0,21.0,20.0,21.0,16.0,26.0,1.61,12.0,21.0,21.0,21.0,21.0,N/A,20.0,20.0,7.0,21.0,21.0,N/A,23.0,21.0,21.0,21.0,N/A,N/A,21.0,20.0,21.0,0,11.0,12.0,14.0,21.0,14.0,21.0,14.0,5.0,18.0,21.0,21.0,14.0,14.0
73,sudhowala,11.0,41.4,68.0,13.0,9.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,28.0,20.0,13.0,11.0,11.0,13.0,7.0,17.0,15.0,13.0,1072.16,0.0,0.0,13.0,15.0,9.0,13.0,13.0,13.0,N/A,13.0,3000.0,N/A,13.0,1.0,N/A,13.0,9.0,13.0,N/A,13.0,1.0,16.0,13.0,13.0,13.0,9.0,13.0,13.0,1.0,7.0,13.0,13.0,13.0,13.0,13.0,13.0,11.0,13.0,N/A,13.0,12.0,13.0,13.0,13.0,26.0,13.0,13.0,13.0,13.0,11.0,0,1.0,3.0,13.0,7.0,12.0,7.7,13.0,13.0,13.0,13.0,3.0,13.0
74,nanda ki chowki,10.0,9.0,68.0,11.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,4.0,9.0,9.0,9.0,21.0,9.0,9.0,9.0,9.0,14.0,9.0,16.0,9.0,9.0,9.0,9.0,9.0,13.0,9.0,9.0,9.0,9.0,8.0,6.0,8.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,14.0,9.0,9.0,9.0,N/A,4.0,9.0,9.0,9.0,9.0,9.0,11.0,13.0,9.0,9.0,10.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,12.0,1.0,0,13.0,9.0,9.0,21.0,N/A,10.0,9.0,9.0,9.0,13.0,6.6
75,premnagar,8.0,N/A,7.0,8.0,10.0,8.0,8.0,8.0,8.0,827.0,12.0,10.0,28.0,20.0,22.0,N/A,9.0,13.0,285.0,14.0,N/A,419.0,14.0,285.0,285.0,827.0,17.0,10.0,11.0,11.0,11.0,827.0,827.0,4.0,5.0,285.0,7.0,7.0,8.0,6.0,285.0,285.0,16.0,5.2,15.0,285.0,3.0,N/A,285.0,N/A,N/A,1.0,7.0,7.0,6.0,10.0,285.0,285.0,11.0,9.0,827.0,10.0,827.0,N/A,258.0,285.0,285.0,29.0,827.0,1.0,827.0,18.0,14.0,3.0,13.0,0,3.0,5.0,14.0,4.0,12.0,285.0,827.0,7.0,N/A,4.0
76,panditwari,6.0,1.0,69.0,8.0,9.0,6.0,1.0,N/A,83.0,83.0,5.0,7.0,28.0,20.0,N/A,11.0,4.0,13.0,7.0,5.0,8.0,419.0,1073.0,83.0,10.0,83.0,4.0,9.0,0.0,1.9,1.0,1.0,83.0,N/A,3.0,N/A,83.0,3.0,83.0,83.0,201.0,4.0,14.0,83.0,15.0,83.0,83.0,83.0,83.0,7.0,83.0,1.0,7.0,7.0,334.0,83.0,243.0,83.0,83.0,6.0,83.0,83.0,83.0,2.0,273.0,83.0,83.0,37.0,4.0,N/A,4.0,83.0,21.0,N/A,9.0,3.0,0,4.0,83.0,1.9,25.0,83.0,9.0,N/A,3.0,1.9
77,vasant vihar,2.0,1.7,3.0,5.0,9.0,3000.0,1.0,1.0,201.0,254.0,1.0,N/A,28.0,19.0,6.0,11.0,8.0,10.0,7.0,5.0,7.0,N/A,11.0,1.0,0.0,1.0,1.7,N/A,9.0,1.7,1.0,N/A,3000.0,3.0,2.0,1.0,4.0,3000.0,1.0,254.0,254.0,254.0,3.0,1.0,15.0,1.0,1.0,1.0,8.0,10.0,3000.0,1.0,7.0,N/A,6.0,4.0,8.0,198.0,254.0,6.0,254.0,254.0,1.0,5.0,15.0,1.0,254.0,233.0,254.0,1.0,3000.0,1.0,14.0,7.0,9.0,5.0,N/A,0,21.0,1.0,25.0,1.0,254.0,0.0,5.0,1.0
78,selaqui chowk,21.0,20.0,69.0,23.0,9.0,21.0,20.0,21.0,N/A,21.0,21.0,26.0,28.0,21.0,21.0,11.0,20.0,21.0,7.0,28.0,25.0,21.0,25.0,21.0,21.0,21.0,21.0,9.0,32.0,21.0,20.0,20.0,21.0,20.0,17.0,20.0,20.0,167.0,20.0,N/A,20.0,21.0,30.0,21.0,N/A,20.0,20.0,20.0,16.0,26.0,20.0,20.0,21.0,111.0,21.0,21.0,25.0,20.0,N/A,7.0,21.0,21.0,20.0,23.0,21.0,20.0,20.0,19.0,20.0,21.0,20.0,21.0,21.0,11.0,9.0,14.0,83.0,14.0,0,14.0,7.0,18.0,20.0,21.0,14.0,14.0
79,baliwala chowk,4.0,41.4,3.0,6.0,9.0,N/A,0.8,1.0,3.0,1.0,4.0,N/A,28.0,19.0,6.0,11.0,4.0,10.0,9.0,5.0,7.0,419.0,1073.0,N/A,N/A,1.0,11.0,9.0,0.8,0.6,6.0,1.6,1.0,3000.0,1.0,1.0,0.9,N/A,1.0,2.0,1.0,0.8,12.0,1.0,6.0,0.0,1.0,1.0,0.8,10.0,3000.0,1.0,7.0,7.0,334.0,N/A,1288.0,0.6,1.0,9.0,1.0,0.6,1.0,3.0,247.0,5.0,1.0,34.0,2.0,36.0,3000.0,N/A,21.0,12.0,9.0,285.0,83.0,1.0,21.0,0,15.0,2.0,13.0,12.0,4.0,2.0
80,bahuwala raja road,14.0,1.0,69.0,20.0,9.0,2.0,1.0,15.0,1.0,N/A,4.0,4.0,N/A,19.0,6.0,11.0,4.0,13.0,7.0,5.0,1.0,419.0,1073.0,1.0,0.0,21.0,12.0,10.0,N/A,N/A,1.0,1.0,N/A,3000.0,3.0,17.0,1.0,1.0,1.0,440.0,1.0,15.0,3.0,1.0,15.0,15.0,1.0,1.0,23.0,1.0,15.0,24.0,7.0,7.0,5.0,21.0,189.0,N/A,3.0,24.0,25.0,1.0,1.0,3.0,N/A,1.0,15.0,233.0,15.0,36.0,22.0,27.0,20.0,13.0,9.0,285.0,83.0,4.0,21.0,1.0,0,15.0,1.0,2.0,12.0,2.0
81,raja road,1.0,6.0,N/A,7.0,9.0,1.0,N/A,N/A,1.0,1.0,4.0,4.0,28.0,19.0,6.0,11.0,8.0,13.0,7.0,5.0,4.0,419.0,1073.0,3000.0,N/A,1.0,7.0,9.0,1.0,7.0,6.0,N/A,0.0,4.0,3.0,3.0,N/A,N/A,N/A,238.0,3000.0,1.0,3.0,0.8,5.0,10.0,N/A,1.0,1.0,4.0,13.0,3000.0,7.0,N/A,334.0,6.0,N/A,163.0,1.0,4.0,6.0,N/A,1.0,3.0,247.0,1.0,6.0,37.0,1.0,1.0,1.0,27.0,18.0,13.0,9.0,827.0,83.0,1.0,20.0,3.0,25.0,0,0.0,16.0,8.0,2.0
82,bansiwala,8.0,1.0,69.0,16.0,10.0,0.0,1.61,N/A,1.61,N/A,5.0,4.0,29.0,20.0,22.0,11.0,10.0,N/A,7.0,5.0,4.0,419.0,1073.0,0.0,N/A,0.0,1.0,9.0,5.0,13.0,0.0,1.0,0.0,6.0,4.0,0.0,3.0,3.0,3000.0,N/A,201.0,10.4,3.0,1.0,15.0,21.0,3.0,1.0,7.0,4.0,N/A,3000.0,7.0,7.0,334.0,2.0,N/A,170.4,3000.0,4.0,0.0,18.0,N/A,1.0,247.0,1.0,0.0,37.0,N/A,1.61,N/A,N/A,21.0,13.0,9.0,285.0,83.0,4.0,21.0,27.0,15.0,1.0,0,0.0,10.4,2.0
83,manduwala,17.0,N/A,69.0,18.0,N/A,1.0,1.0,16.0,16.0,18.0,1.0,20.0,28.0,N/A,6.0,11.0,23.0,N/A,7.0,5.0,19.0,419.0,1073.0,1.0,0.0,0.0,16.0,9.0,19.0,7.0,1.61,1.61,0.0,3000.0,3.0,0.0,1.0,3000.0,1400.0,3000.0,18.0,16.0,3.0,1.1,15.0,0.0,3.0,1.0,4.0,20.0,0.0,3000.0,7.0,7.0,334.0,14142.0,243.0,163.0,3.0,4.0,34.0,18.0,N/A,2.0,247.0,1.61,0.0,18.0,34.0,0.0,N/A,11.0,21.0,11.0,9.0,285.0,83.0,0.0,21.0,12.0,N/A,15.0,201.0,0,7.0,12.0
84,prem nagar,8.0,1.0,7.0,8.0,10.0,2.0,1.0,1.0,N/A,N/A,12.0,10.0,28.0,30.0,6.0,20.0,9.0,13.0,7.0,14.0,12.0,419.0,N/A,285.0,1.0,8.0,17.0,9.0,13.0,N/A,11.0,N/A,7.0,3000.0,5.0,7.0,7.0,N/A,7.0,267.0,285.0,4.0,16.0,1.0,15.0,285.0,267.0,40.0,8.0,11.0,827.0,1.0,7.0,7.0,6.0,8.0,285.0,170.4,11.0,9.0,8.0,10.0,4.0,9.0,267.0,N/A,7.0,28.0,7.0,8.0,N/A,18.0,N/A,N/A,13.0,285.0,3.0,5.0,14.0,4.0,12.0,8.0,10.4,7.0,0,4.0
85,balliwala chowk,4.0,1.0,3.0,6.0,N/A,27.0,1.0,1.0,2.0,1.0,4.0,6.0,28.0,20.0,7.0,11.0,8.0,13.0,9.0,5.0,7.0,419.0,9.0,5.0,2.0,1.0,2.0,8.0,0.8,4.0,6.0,1.0,3000.0,4.0,1.0,1.0,3.0,3.0,2.0,N/A,2.0,N/A,12.0,2.0,15.0,1.0,1.0,3.0,0.8,N/A,3000.0,1.0,7.0,7.0,334.0,4.0,243.0,0.6,2.0,9.0,2.0,3.0,2.0,0.8,247.0,5.0,2.0,34.0,4.0,32.0,27.0,4.0,14.0,13.0,9.0,4.0,2.0,1.0,14.0,2.0,21.0,2.0,12.0,12.0,4.0,0
